Id,Name,Theme,PointOfView,Type,Criterion
71,SYSTEM-1-7,システム,アンチパターン,バージョン管理,バージョン管理システムが複数存在していたり、１つのツールからすべての履歴を閲覧できないなど、中途半端な状態のままになっていないか。
72,SYSTEM-1-8,システム,アンチパターン,バージョン管理,システムのソースコードの閲覧を関連するエンジニアのみに限定している。（別チームのエンジニアや他のステークホルダーが閲覧できない。）
73,SYSTEM-2-1,システム,メトリクスの計測,ソースコードの明確さ,アプリケーションコードの循環的複雑度などのメトリクスを、ツール/サービスを用いて継続的に計測しているか。
74,SYSTEM-2-2,システム,学習と改善,ソースコードの明確さ,デッドコードを四半期以上のサイクルで定期的に棚卸しし、削除や分解をしているか。
75,SYSTEM-2-3,システム,プラクティス,ソースコードの明確さ,コードレビューをする習慣や規則があり、本番用ブランチ(master / mainなど)へのマージはコードレビューを必須としているか。
76,SYSTEM-2-4,システム,プラクティス,ソースコードの明確さ,明文化されているコードレビューガイドラインが存在するか。
77,SYSTEM-2-5,システム,プラクティス,ソースコードの明確さ,コードレビューガイドラインを満たさないコードを自動的に検出・補正する各種Linterやフォーマッタなどのツール群を整備しており、ソースコードを変更する誰もが使うことができるか。
78,SYSTEM-2-6,システム,アンチパターン,ソースコードの明確さ,コードレビューをできる人物がチームの中におらず、レビュー待ちに1、2営業日がかかる。
79,SYSTEM-2-7,システム,アンチパターン,ソースコードの明確さ,コードレビューガイドラインは１年以上メンテナンスされておらず、形骸化している。
80,SYSTEM-2-8,システム,アンチパターン,ソースコードの明確さ,コードレビューガイドラインの多くの項目が、自動的なフォーマッタなどで統一・解決可能な些末な事柄である。
81,SYSTEM-3-1,システム,メトリクスの計測,継続的インテグレーション,すべてのインテグレーションテストにかかる時間が計測されており、それは30分以内に完了するか。
82,SYSTEM-3-2,システム,学習と改善,継続的インテグレーション,テストカバレッジ基準や自動テストガイドラインを用意し、これらを継続的に改善するための工数がチームで割かれているか。
83,SYSTEM-3-3,システム,プラクティス,継続的インテグレーション,プロダクトの半分以上のモジュール/クラスファイルに対して、ユニットテストが存在しているか。
84,SYSTEM-3-4,システム,プラクティス,継続的インテグレーション,テスト用データやスタブ/モックなどを整備し、テストを書きやすくするための環境整備をしているか。
85,SYSTEM-3-5,システム,プラクティス,継続的インテグレーション,継続的インテグレーション環境が存在し、開発者は開発ブランチの全テストをリソース調整することなく、自由に行うことができるか。
86,SYSTEM-3-6,システム,アンチパターン,継続的インテグレーション,一部の人だけがテストを書き、一部の人はテストを書かないといったように自動テストを個々人の努力目標などになっている。
87,SYSTEM-3-7,システム,アンチパターン,継続的インテグレーション,テスト自体が複雑になって、長期間メンテナンスされていない。
88,SYSTEM-3-8,システム,アンチパターン,継続的インテグレーション,自動テストが失敗したまま、そのコードが本番デプロイされることを許容している。
89,SYSTEM-4-1,システム,メトリクスの計測,継続的デプロイ,デプロイ頻度とデプロイ成功率を継続的に測定しており、これらを改善することを目標管理しているか。
90,SYSTEM-4-2,システム,学習と改善,継続的デプロイ,デプロイ時に社内のユーザーや開発者のみを対象もしくは、一部のサーバのみにサービスをリリースしてエラーがないかを確かめるカナリアリリースができるか。
91,SYSTEM-4-3,システム,プラクティス,継続的デプロイ,デプロイ完了時、および構成変更時にインフラ構成に関する自動的なテスト(e2eのスモークテストおよびServerspecなどのインフラ環境テスト)を実行しているか。
92,SYSTEM-4-4,システム,プラクティス,継続的デプロイ,ブルーグリーンデプロイメントができるか。（稼働中のサーバーを切り替えるのではなく、別環境にデプロイ作業をしてから本番の向き先を切り替えるデプロイ手法。）
93,SYSTEM-4-5,システム,プラクティス,継続的デプロイ,デプロイ作業を伴わず、一部の機能を安全にオフにしたり、オンにしたりできるか。( Feature Toggle /Soft Launch/ Dark launchなどの仕組みを導入・実装しているか。)
94,SYSTEM-4-6,システム,アンチパターン,継続的デプロイ,デプロイされたコードに問題が発生した際に、前のバージョンへの切り戻しを意思決定してから5分以内に切り戻すことができない。
95,SYSTEM-4-7,システム,アンチパターン,継続的デプロイ,開発者のメンバー自身が、権限を持つ人物の承認があっても、自分のコードを本番環境にデプロイできない。
96,SYSTEM-4-8,システム,アンチパターン,継続的デプロイ,デプロイ工程が自動化されておらず、本番反映に1時間以上かかっていたり、特定の時間帯しかできないなどの制約事項がかかっている。
97,SYSTEM-5-1,システム,メトリクスの計測,API駆動開発,社内外のAPIの利用者にとってのユーザビリティについてヒアリング/アンケートを行い継続的な改善が行われているか。
98,SYSTEM-5-2,システム,学習と改善,API駆動開発,各APIについて、動作するインタラクティブなドキュメントや管理サービスを持っているか。
99,SYSTEM-5-3,システム,プラクティス,API駆動開発,プロダクトに対して外部あるいは内部の別のシステムと連携するためのAPIが提供されているか。
100,SYSTEM-5-4,システム,プラクティス,API駆動開発,APIは何らかのSchema定義言語によって規定され、そこから自動的にクライアントの生成やバリデータの生成が行われているか。
101,SYSTEM-5-5,システム,プラクティス,API駆動開発,APIに関わる要件は、SDD(スキーマ駆動開発)で開発され、直ちにモックアップサーバーが提供できるか。
102,SYSTEM-5-6,システム,アンチパターン,API駆動開発,ViewやControllerの層に処理が集中しており、機能をAPIに切り出すことが困難な設計になっている。
103,SYSTEM-5-7,システム,アンチパターン,API駆動開発,各APIに対して、ネットワークを経由したE2E(ステージング・本番どちらに対するE2Eテストかは問わない)のテストが存在しておらず、死活監視ができていない。
104,SYSTEM-5-8,システム,アンチパターン,API駆動開発,APIがバージョン管理されておらず、破壊的な変更が利用者から検知できない。
105,SYSTEM-6-1,システム,メトリクスの計測,疎結合アーキテクチャ,目指すべきアーキテクチャに対してそぐわない点を洗い出すための仕組みが存在しており、それらの情報をもとに改善を進めているか。（アーキテクチャ適応度関数）
106,SYSTEM-6-2,システム,学習と改善,疎結合アーキテクチャ,システムアーキテクチャの決定・変更・改善に関するドキュメントを管理し継続的な学習機会を設けているか。
107,SYSTEM-6-3,システム,プラクティス,疎結合アーキテクチャ,ドメインイベントの発火に伴いPublish/Subscribeモデルを利用した仕組みで、関連サービスとの連携が可能か。またその履歴データが保存管理され、これらのイベントリプレイから再突合や監査の自動化が可能か。
108,SYSTEM-6-4,システム,プラクティス,疎結合アーキテクチャ,結果整合性を考慮したサービスレベルの合意が要件のガイドラインの中に組み込まれているか。
109,SYSTEM-6-5,システム,プラクティス,疎結合アーキテクチャ,バッチ、ジョブ、プロシージャに対する冪等な設計ガイドラインが存在しており、再送によって整合性が担保できるようなシステムになっているか。
110,SYSTEM-6-6,システム,アンチパターン,疎結合アーキテクチャ,１つのデータベースに対して複数のシステムからの直接的な参照または書き込みがなされていて、それらの依存性が簡単には追跡できない状況になっている。
111,SYSTEM-6-7,システム,アンチパターン,疎結合アーキテクチャ,疎結合なシステムであるが、分散トレーシングの仕組みがなく、問題発生時の原因特定に時間がかかる。
112,SYSTEM-6-8,システム,アンチパターン,疎結合アーキテクチャ,自動テストとスキーマ定義の存在しない外部システムとの依存関係が１０ケース以上存在しており、機能開発の影響範囲を特定できない。
113,SYSTEM-7-1,システム,メトリクスの計測,システムモニタリング,SLI/SLO/エラーバジェットがビジネスオーナーとエンジニアが協議して合意の上設定され、計測されているか。
114,SYSTEM-7-2,システム,学習と改善,システムモニタリング,開発と SRE が共有する障害報告リストがあり、それぞれに有効な再発防止の仕組みが整うようにリソースを割いているか。
115,SYSTEM-7-3,システム,プラクティス,システムモニタリング,APMのためのSaaSやツールが導入され、ユーザーからみた応答速度などについて、要因ごとの影響度を定常的に分析できる状態になっているか。
116,SYSTEM-7-4,システム,プラクティス,システムモニタリング,フォルトインジェクションテストや、カオスエンジニアリング等の仕組みを導入することで、重大事故につながりうるシステムの欠陥を早期に発見するための試みをおこなっているか。
117,SYSTEM-7-5,システム,プラクティス,システムモニタリング,オートスケールなどの仕組みにより、開発者やSREが介在しなくても、適切なキャパシティコントロールができているか。
118,SYSTEM-7-6,システム,アンチパターン,システムモニタリング,障害の発生に対しての罰則や謝罪などの、開発者が萎縮したり障害を隠蔽する方向につながるような慣習が存在する。
119,SYSTEM-7-7,システム,アンチパターン,システムモニタリング,定常的に発生しているサービス上の警告を問題ないものとして無視したり、ログ自体を出さないようにしている。
120,SYSTEM-7-8,システム,アンチパターン,システムモニタリング,システム構成要素の構築方法や運用方法が属人化しており、同じインスタンスを構築できない。
121,SYSTEM-8-1,システム,メトリクスの計測,セキュリティシフトレフト,CI/CDのパイプラインにソースコードの自動的なセキュリティチェック（静的解析または動的解析）が組み込まれていて、一定の基準を達さないとリリースされない仕組みになっているか。
122,SYSTEM-8-2,システム,学習と改善,セキュリティシフトレフト,セキュアコーディングについて、開発者を対象とした教育カリキュラムや研修を実施しているか。
123,SYSTEM-8-3,システム,プラクティス,セキュリティシフトレフト,専門的なアプリケーションセキュリティの知識を持つメンバーが、専任でセキュリティチームにおり、動向や最新情報をもとに自社サービスをレビュー・改善できているか。
124,SYSTEM-8-4,システム,プラクティス,セキュリティシフトレフト,OSSのライブラリやミドルウェアを使用する際、それらの脆弱性情報を自動的モニタリング・警告・パッチ適用するための仕組みまたはサービス等を利用しているか。
125,SYSTEM-8-5,システム,プラクティス,セキュリティシフトレフト,4半期から1年の間で定期的に、全体的なアプリケーションとインフラの脆弱性診断を受けているか。
126,SYSTEM-8-6,システム,アンチパターン,セキュリティシフトレフト,開発速度（デプロイ頻度）を低下させるようなセキュリティルールが、施行されていて現況に合わせたアップデートが行われていない。
127,SYSTEM-8-7,システム,アンチパターン,セキュリティシフトレフト,ソースコード中に、漏洩してはならない情報がハードコーディングされている。（それらを分離して管理するようなツールまたは仕組みを導入しているか）
128,SYSTEM-8-8,システム,アンチパターン,セキュリティシフトレフト,開発企画要件の段階で、設計レベルのセキュリティレビューが実施されていない。(Security by Designの未実施)
129,DATA-1-1,データ駆動,メトリクスの計測,顧客接点のデジタル化,顧客の行動履歴データを分析可能な形で保存しており、その割合が顧客全体の7割を超えているか。
130,DATA-1-2,データ駆動,学習と改善,顧客接点のデジタル化,オンライン・オフラインの両方で、顧客の接点となる行動情報や通知の手段を獲得するためのシステムを開発している組織が社内に存在するか。
131,DATA-1-3,データ駆動,プラクティス,顧客接点のデジタル化,オンライン上で、顧客は自社のサービスを契約したり購入したりできるか。
132,DATA-1-4,データ駆動,プラクティス,顧客接点のデジタル化,自社サービスやメディアをスマートフォン用のWebサイトまたはアプリとして提供しているか。
133,DATA-1-5,データ駆動,プラクティス,顧客接点のデジタル化,潜在顧客獲得のために自社メディアやSNSを通じたエンゲージメント活動をしているか。
134,DATA-1-6,データ駆動,アンチパターン,顧客接点のデジタル化,デジタル上でのプッシュマーケティングをEmailのみに頼っている。
135,DATA-1-7,データ駆動,アンチパターン,顧客接点のデジタル化,自社のリアルな顧客接点からのデータ収集が技術的な課題・社内ルール・オペレーションの問題でできていないままになっている。
136,DATA-1-8,データ駆動,アンチパターン,顧客接点のデジタル化,顧客接点のサービス開発がうまく機能していないため、改善の速度やデータの取得が遅延している。
137,DATA-2-1,データ駆動,メトリクスの計測,事業活動データの収集,事業活動のデータが集計されてから、解析された状態で閲覧可能になるまでのリードタイムは1日以内か。（BIツールで昨日のデータは見られるか。）
138,DATA-2-2,データ駆動,学習と改善,事業活動データの収集,事業活動の中に潜在的に存在したが、蓄積できていなかったデータを収集するためのシステム化や業務分析を行うチームは存在するか。
139,DATA-2-3,データ駆動,プラクティス,事業活動データの収集,外部事業者との取引情報について、構造化されたフォーマットでリアルタイムにデータレイクへ保存しているか。
140,DATA-2-4,データ駆動,プラクティス,事業活動データの収集,POSや業務システム上のアクセス記録/操作履歴を構造化されたフォーマットでリアルタイムにデータレイクへ保存しているか。
141,DATA-2-5,データ駆動,プラクティス,事業活動データの収集,音声・動画・文章といった従来構造化できなかったデータソースも事業利活用のために収集しているか。
142,DATA-2-6,データ駆動,アンチパターン,事業活動データの収集,データ収集プロジェクトが依頼しているデータ入力業務が現場で実施されていない。
143,DATA-2-7,データ駆動,アンチパターン,事業活動データの収集,データの活用に関して責任のあるポジションを設置していない。
144,DATA-2-8,データ駆動,アンチパターン,事業活動データの収集,データ収集に関するプロジェクトが存在しないか、進捗していない。
145,DATA-3-1,データ駆動,メトリクスの計測,データ蓄積・分析基盤,データ分析の基盤実際に操作して数字を取得できる社内の人数と部署数を増やしていくための活動をしているか。
146,DATA-3-2,データ駆動,学習と改善,データ蓄積・分析基盤,データ分析基盤を職種を問わず使ってもらうために、簡単な分析をするためのプログラミングや操作の仕方をエンジニア以外のステークホルダーに対しても教育しているか。
147,DATA-3-3,データ駆動,プラクティス,データ蓄積・分析基盤,ユーザー理解や仮説検証のためのデータ分析のための環境が整備されており、データサイエンティストだけでなくエンジニア・非エンジニアを問わず、プロダクトのステークホルダーに公開されているか。
148,DATA-3-4,データ駆動,プラクティス,データ蓄積・分析基盤,イベントストリーム処理の基盤を用いてオンライン情報を利用した分析・サービスでの活用をおこなっているか。
149,DATA-3-5,データ駆動,プラクティス,データ蓄積・分析基盤,データ分析において、個人情報をマスキングする機構が存在しているか。
150,DATA-3-6,データ駆動,アンチパターン,データ蓄積・分析基盤,事業システムのデータベースに直接アクセスして、分析用の処理を走らせている。
151,DATA-3-7,データ駆動,アンチパターン,データ蓄積・分析基盤,統一されたデータレイクが存在せず、分析基盤ごとにデータを管理している。
152,DATA-3-8,データ駆動,アンチパターン,データ蓄積・分析基盤,利用中の外部サービスにリアルタイムなデータ連携するための機構が存在しない。
153,DATA-4-1,データ駆動,メトリクスの計測,データ処理パイプライン,分析・開発や運用のバリューストリーム上の各種サイクルタイムを計測しており、継続的に改善しているか。
154,DATA-4-2,データ駆動,学習と改善,データ処理パイプライン,データレイクから、モデルの実サービス適用までの一連の流れのパフォーマンスモニタ・自動化・効率化を行うエンジニアリングチームが存在するか。
155,DATA-4-3,データ駆動,プラクティス,データ処理パイプライン,データレイクから、データ分析基盤までのETL処理にも自動テストが存在しており、変換エラーなどがモニタリングされているか。
156,DATA-4-4,データ駆動,プラクティス,データ処理パイプライン,実運用されているデータ分析・学習のための前処理や学習処理を実行するためのワークフロー処理基盤(ETLの一貫性・冪等性・可用性を確保するための基盤)が存在するか。
157,DATA-4-5,データ駆動,プラクティス,データ処理パイプライン,学習済みのモデルを検証し、サービスインするまでの処理は自動化されているか。
158,DATA-4-6,データ駆動,アンチパターン,データ処理パイプライン,週次集計や月次集計の処理が特定の日時に終わることを想定しており、障害が発生した場合にデータが欠損してしまう。
159,DATA-4-7,データ駆動,アンチパターン,データ処理パイプライン,実験時の環境を実サービス環境に向けてポータブルにするためのコンテナ化やIaC(Infrastructure as Code)が存在しない。　
160,DATA-4-8,データ駆動,アンチパターン,データ処理パイプライン,データサイエンス/機械学習/データアプリケーションエンジニアリング/クラウドインフラなどの知見が１名に属人化している。
161,DATA-5-1,データ駆動,メトリクスの計測,データ可視化とリテラシー,プロダクトの主要情報のダッシュボードが、常に表示された共用のモニターをチームの座席近辺に配置しているか。リモートワークでは、アクセスしやすい場所にダッシュボードが掲示されているか。
162,DATA-5-2,データ駆動,学習と改善,データ可視化とリテラシー,意思決定者は、データの読み取り方や統計の基本的な知識について研修トレーニングを受けているか。
163,DATA-5-3,データ駆動,プラクティス,データ可視化とリテラシー,売上などの短期的数値ではなく、長期的な事業価値のための間接的指標（e.g.顧客リピート率や予測LTVなど)を主要なKPIとして設定しているか。
164,DATA-5-4,データ駆動,プラクティス,データ可視化とリテラシー,データ集計・可視化等のためのBIツールを導入しており、エンジニア以外でも使うことができているか。
165,DATA-5-5,データ駆動,プラクティス,データ可視化とリテラシー,データから得られた推論や仮説が間違っている場合にどのようなデータによって検証可能かをもとにデータ収集や分析が行われているか。
166,DATA-5-6,データ駆動,アンチパターン,データ可視化とリテラシー,要望ベースでデータの集計を繰り返し、雑多なレポーティング項目が棚卸しされていない。
167,DATA-5-7,データ駆動,アンチパターン,データ可視化とリテラシー,簡単なデータ集計であっても、エンジニアを経由しなければ取得できない。
168,DATA-5-8,データ駆動,アンチパターン,データ可視化とリテラシー,ダッシュボードは存在するが、データ担当者以外誰も見ておらず形骸化している。
169,DATA-6-1,データ駆動,メトリクスの計測,機械学習プロジェクト管理,機械学習プロジェクトの具体的な成功指標を持ち、構築したシステムがそれを満たしているかモニタリングしているか。
170,DATA-6-2,データ駆動,学習と改善,機械学習プロジェクト管理,機械学習の知見を、アプリケーション開発者や非エンジニアのスタッフが利用できるように勉強会などを繰り返し開いているか。
171,DATA-6-3,データ駆動,プラクティス,機械学習プロジェクト管理,継続的再学習のためのモニタリングと、自動的なモデルのアップデート等の効率的な保守を実現するための仕組みを導入しているか。
172,DATA-6-4,データ駆動,プラクティス,機械学習プロジェクト管理,実運用時の計算量や計算資源の種別（IoT/エッジ利用/クラウド）などを考慮に入れた上で、モデル選定や実験のプロセスが動いているか。
173,DATA-6-5,データ駆動,プラクティス,機械学習プロジェクト管理,事業価値と実現可能性の両面を同時に仮説検証できるようなプロジェクト管理(PoCとプロトタイプ作成)を行っているか。　
